"inquiry","segment","speaker","start_time","end_time","duration","text","inq_type","inq_recording_year","inq_gender","inq_age_group","inq_quality","inq_themes"
"NURC_RE_DID_025","NURC_RE_DID_025_Inf-ue_232_551.386_556.744.wav","Inf-ue",551.386,556.744,5.358,"anteontem mesmo eu fui assistir um filme gostei fui terminar quinze pras duas da madrugada","DID",1976,"M","II","Ótima","Diversões, Vida Social"
"NURC_RE_DID_025","NURC_RE_DID_025_Inf-ue_124_74.476_79.54.wav","Inf-ue",74.476,79.54,5.064,"a sala mesmo é num num sei assim o nome especial pra isso não","DID",1976,"M","II","Ótima","Diversões, Vida Social"
"NURC_RE_DID_025","NURC_RE_DID_025_Inf-ue_182_397.458_402.352.wav","Inf-ue",397.458,402.352,4.894,"a televisão universitária mesmo eu quase nunca assisto que é aqueles programas educativos num sei o quê","DID",1976,"M","II","Ótima","Diversões, Vida Social"
"NURC_RE_DID_025","NURC_RE_DID_025_Inf-ue_190_421.197_425.839.wav","Inf-ue",421.197,425.839,4.642,"eu gostava demais no tempo em que o Chacrinha não tinha cartaz eu gostava de assistir Chacrina","DID",1976,"M","II","Ótima","Diversões, Vida Social"
"NURC_RE_DID_025","NURC_RE_DID_025_Inf-ue_176_383.461_387.799.wav","Inf-ue",383.461,387.799,4.339,"quer dizer pra divertimento é bom agora instrutivo não é não","DID",1976,"M","II","Ótima","Diversões, Vida Social"
"NURC_RE_DID_032","NURC_RE_DID_032_Inf-ue_760_1751.923_1758.73.wav","Inf-ue",1751.923,1758.73,6.807,"do ponto de vista de oportunidade então interrompendo aqui eu não sei dizer o que eu posso afirmar é que os nutri nutricionistas","DID",1977,"M","II","Ótima","Ofícios, Profissões"
"NURC_RE_DID_032","NURC_RE_DID_032_Inf-ue_916_2144.776_2150.552.wav","Inf-ue",2144.776,2150.552,5.776,"tudo aquilo que ele aprendeu na escola ele não está utilizando ele tá trabalhando num nível muito abaixo daquele","DID",1977,"M","II","Ótima","Ofícios, Profissões"
"NURC_RE_DID_032","NURC_RE_DID_032_Inf-ue_953_2228.898_2234.004.wav","Inf-ue",2228.898,2234.004,5.105,"dificilmente colocaria um filho seu numa escola técnica porque aquilo ali vai ser o quê","DID",1977,"M","II","Ótima","Ofícios, Profissões"
"NURC_RE_DID_032","NURC_RE_DID_032_Inf-ue_1122_2614.962_2619.922.wav","Inf-ue",2614.962,2619.922,4.96,"na minha opinião toda a ênfase devia ser dada a preparação a nível médio","DID",1977,"M","II","Ótima","Ofícios, Profissões"
"NURC_RE_DID_032","NURC_RE_DID_032_Inf-ue_862_2014.752_2018.794.wav","Inf-ue",2014.752,2018.794,4.042,"mas há essa mentalidade ainda que na minha opinião precisa acabar","DID",1977,"M","II","Ótima","Ofícios, Profissões"
"NURC_RE_DID_037","NURC_RE_DID_037_Inf-ue_715_1380.403_1386.318.wav","Inf-ue",1380.403,1386.318,5.914,"apesar de fazer muito tempo que eu não vejo um bonde na minha vida mas ainda alcancei o bonde","DID",1977,"F","I","Ótima","Transportes, Viagens"
"NURC_RE_DID_037","NURC_RE_DID_037_Inf-ue_650_1218.126_1223.865.wav","Inf-ue",1218.126,1223.865,5.739,"quer dizer em termos de ônibus tá havendo uma melhora muito grande do que tinha a uns dois anos atrás pra cá","DID",1977,"F","I","Ótima","Transportes, Viagens"
"NURC_RE_DID_037","NURC_RE_DID_037_Inf-ue_917_1853.536_1858.444.wav","Inf-ue",1853.536,1858.444,4.908,"eu não acho que é bem sinalizado não mas não é das piores não poderia ser melhor","DID",1977,"F","I","Ótima","Transportes, Viagens"
"NURC_RE_DID_037","NURC_RE_DID_037_Inf-ue_827_1658.624_1662.9.wav","Inf-ue",1658.624,1662.9,4.276,"eu acho que o pessoal toma muito da conta da vida dos outros por isso que eu não suporto","DID",1977,"F","I","Ótima","Transportes, Viagens"
"NURC_RE_DID_037","NURC_RE_DID_037_Inf-ue_462_734.994_739.097.wav","Inf-ue",734.994,739.097,4.103,"Teresopólis não tem grande coisa que você ver não só o comércio assim e fábricas","DID",1977,"F","I","Ótima","Transportes, Viagens"
"NURC_RE_DID_044","NURC_RE_DID_044_Inf-ue_1398_2118.166_2123.262.wav","Inf-ue",2118.166,2123.262,5.096,"quando tem o rosto assim pequeno feito eu fica muito melhor mas o cabelo grande eu vejo mesmo","DID",1977,"F","I","Ótima","Vestuário"
"NURC_RE_DID_044","NURC_RE_DID_044_Inf-ue_1271_1900.783_1905.05.wav","Inf-ue",1900.783,1905.05,4.267,"era velha parece que ficou cega eu não cheguei a alcançar ela muito não","DID",1977,"F","I","Ótima","Vestuário"
"NURC_RE_DID_044","NURC_RE_DID_044_Inf-ue_1471_2233.575_2237.76.wav","Inf-ue",2233.575,2237.76,4.186,"acho bonito uma moça bem maquiada acho muito bonito mas eu mesmo não","DID",1977,"F","I","Ótima","Vestuário"
"NURC_RE_DID_044","NURC_RE_DID_044_Inf-ue_1289_1935.848_1939.98.wav","Inf-ue",1935.848,1939.98,4.132,"para as alunas nessa festa papai foi e conheceu mamãe","DID",1977,"F","I","Ótima","Vestuário"
"NURC_RE_DID_044","NURC_RE_DID_044_Inf-ue_1240_1857.738_1861.849.wav","Inf-ue",1857.738,1861.849,4.111,"agora já papai não papai era um homem que não era moço","DID",1977,"F","I","Ótima","Vestuário"
"NURC_RE_DID_045","NURC_RE_DID_045_Inf-ue_697_2191.444_2197.607.wav","Inf-ue",2191.444,2197.607,6.163,"a gente é quem vai elaborar tudo aquilo que o monitor vai fazer é tirar uma oportunidade da gente criar","DID",1977,"M","II","Ótima","Igreja, Instituições de Ensino"
"NURC_RE_DID_045","NURC_RE_DID_045_Inf-ue_361_1061.65_1067.382.wav","Inf-ue",1061.65,1067.382,5.732,"eu vi como é que o aluno realmente entra na universidade o que que ele espera encontrar","DID",1977,"M","II","Ótima","Igreja, Instituições de Ensino"
"NURC_RE_DID_045","NURC_RE_DID_045_Inf-ue_359_1055.292_1060.949.wav","Inf-ue",1055.292,1060.949,5.657,"a gente vai esclarecer a eles muita coisa e com isso é que eu vou responder a pergunta que ela fez","DID",1977,"M","II","Ótima","Igreja, Instituições de Ensino"
"NURC_RE_DID_045","NURC_RE_DID_045_Inf-ue_209_582.801_588.421.wav","Inf-ue",582.801,588.421,5.62,"terminam absorvidos pelas elites todinhas e então os serviços que são feitos pra atender a todo mundo","DID",1977,"M","II","Ótima","Igreja, Instituições de Ensino"
"NURC_RE_DID_045","NURC_RE_DID_045_Inf-ue_743_2348.842_2354.073.wav","Inf-ue",2348.842,2354.073,5.231,"não como prestação de serviço porque prestação de serviço quem presta são as agências de desenvolvimento de serviço","DID",1977,"M","II","Ótima","Igreja, Instituições de Ensino"
"NURC_RE_DID_058","NURC_RE_DID_058_Inf-ue_354_942.346_948.182.wav","Inf-ue",942.346,948.182,5.836,"pessoal aproveita a semana santa pra sair da cidade você liga o rádio é tudo a mesma coisa","DID",1978,"F","I","Ótima","Cidade, Comércio"
"NURC_RE_DID_058","NURC_RE_DID_058_Inf-ue_706_1905.163_1910.824.wav","Inf-ue",1905.163,1910.824,5.661,"mas não sei se atualmente elas estão funcionando eu estive lá a tarde há pouco com o menino","DID",1978,"F","I","Ótima","Cidade, Comércio"
"NURC_RE_DID_058","NURC_RE_DID_058_Inf-ue_433_1146.74_1151.868.wav","Inf-ue",1146.74,1151.868,5.129,"pra você tirar fotografia e cada fotografia linda foca nas naquelas pedras","DID",1978,"F","I","Ótima","Cidade, Comércio"
"NURC_RE_DID_058","NURC_RE_DID_058_Inf-ue_344_917.229_921.99.wav","Inf-ue",917.229,921.99,4.762,"na semana santa por exemplo você ligava o rádio e só ouvia musicas fúnebres","DID",1978,"F","I","Ótima","Cidade, Comércio"
"NURC_RE_DID_058","NURC_RE_DID_058_Inf-ue_516_1390.864_1394.681.wav","Inf-ue",1390.864,1394.681,3.817,"mas geralmente elas têm saída você sempre chega em algum lugar","DID",1978,"F","I","Ótima","Cidade, Comércio"
"SP_DID_014","SP_DID_014_SPEAKER_0_101_913.563_922.666.wav","SPEAKER 0",913.563,922.666,9.103,"Agora que estão se localizando umas primeiras famílias japonesas, mas eu tive a oportunidade de ver no hotel que a gente ainda come aquele tomate selvagem, tomate pequenininho, tudo isso, quer dizer,","DID",1971,"M","II","Ótima","Alimentação Cidade, comércio Transportes e viagens Animais, rebanho"
"SP_DID_014","SP_DID_014_SPEAKER_0_81_755.33_762.993.wav","SPEAKER 0",755.33,762.993,7.663,"Então a parte de hospedagem também é precaríssima e e se descuidar a pessoa fica ao relento.","DID",1971,"M","II","Ótima","Alimentação Cidade, comércio Transportes e viagens Animais, rebanho"
"SP_DID_014","SP_DID_014_SPEAKER_0_111_991.48_996.303.wav","SPEAKER 0",991.48,996.303,4.823,"E só se encontra quase praticamente peixe vivo, que ainda esteja se movimentando.","DID",1971,"M","II","Ótima","Alimentação Cidade, comércio Transportes e viagens Animais, rebanho"
"SP_DID_014","SP_DID_014_SPEAKER_0_147_1290.022_1294.402.wav","SPEAKER 0",1290.022,1294.402,4.38,"Então, () todos os quartos têm as camas e têm as redes.","DID",1971,"M","II","Ótima","Alimentação Cidade, comércio Transportes e viagens Animais, rebanho"
"SP_DID_014","SP_DID_014_SPEAKER_0_198_1705.672_1709.652.wav","SPEAKER 0",1705.672,1709.652,3.98,"Essas quantidades atendiam as necessidades de anos anteriores, locais.","DID",1971,"M","II","Ótima","Alimentação Cidade, comércio Transportes e viagens Animais, rebanho"
"SP_DID_023","SP_DID_023_SPEAKER_1_266_993.703_1002.369.wav","SPEAKER 1",993.703,1002.369,8.666,"e foram alterados depois para eletricidade. E tinham um sistema de pesos, então eles eram lustres pesadíssimos, mas pelo sistema de pesos podia baixar e levantar os lustres com um dedo, quase.","DID",1972,"M","II","Ótima","Casa"
"SP_DID_023","SP_DID_023_SPEAKER_1_583_2210.205_2218.395.wav","SPEAKER 1",2210.205,2218.395,8.19,"Em frente a essa garagem era a lavanderia. Do lado esquerdo tinha um poço, que não era usado.","DID",1972,"M","II","Ótima","Casa"
"SP_DID_023","SP_DID_023_SPEAKER_1_50_77.882_84.826.wav","SPEAKER 1",77.882,84.826,6.944,"O quintal da casa de vovó era muito grande. Tinha mais ou menos quatro mil metros quadrados de terreno.","DID",1972,"M","II","Ótima","Casa"
"SP_DID_023","SP_DID_023_SPEAKER_1_119_424.66_430.482.wav","SPEAKER 1",424.66,430.482,5.822,"Então, ela convocava a molecada da vizinhança e distribuía presentes no na véspera de Natal.","DID",1972,"M","II","Ótima","Casa"
"SP_DID_023","SP_DID_023_SPEAKER_1_614_2369.855_2375.375.wav","SPEAKER 1",2369.855,2375.375,5.52,"Depois, passando aquela entrada de novo, tinha o terreno que dava pra Roção do Centro de Paulo.","DID",1972,"M","II","Ótima","Casa"
"SP_DID_027","SP_DID_027_SPEAKER_1_310_2262.312_2269.372.wav","SPEAKER 1",2262.312,2269.372,7.06,"<É chato cesárea, não gosto e você fica acabada.","DID",1972,"F","I","Ótima","Casa Família, ciclo da vida, saúde Vegetais, agricultura"
"SP_DID_027","SP_DID_027_SPEAKER_1_226_1605.482_1612.242.wav","SPEAKER 1",1605.482,1612.242,6.76,"Não chega a ter cinquenta, mas quase cinquenta de fundo e era a casa onde a gente morava quando era pequeno, né?","DID",1972,"F","I","Ótima","Casa Família, ciclo da vida, saúde Vegetais, agricultura"
"SP_DID_027","SP_DID_027_SPEAKER_1_357_2567.552_2573.332.wav","SPEAKER 1",2567.552,2573.332,5.78,"E depois ele começa a ganhar maior desenvolvimento motor.","DID",1972,"F","I","Ótima","Casa Família, ciclo da vida, saúde Vegetais, agricultura"
"SP_DID_027","SP_DID_027_SPEAKER_1_89_491.362_496.903.wav","SPEAKER 1",491.362,496.903,5.541,"E tem as duas caminhas dele. E depois tem uma estante também no chão onde eles põem os brinquedos.","DID",1972,"F","I","Ótima","Casa Família, ciclo da vida, saúde Vegetais, agricultura"
"SP_DID_027","SP_DID_027_SPEAKER_1_334_2439.912_2444.102.wav","SPEAKER 1",2439.912,2444.102,4.19,"<Esse meu filho, por exemplo, segundo, é ao contrário do outro.","DID",1972,"F","I","Ótima","Casa Família, ciclo da vida, saúde Vegetais, agricultura"
"SP_DID_031","SP_DID_031_SPEAKER_1_272_1252.513_1260.983.wav","SPEAKER 1",1252.513,1260.983,8.47,"Você passa, eles te revistam, depois você entra, passa por uma por um portão central, que ainda é um corredor, no fim desse corredor tem o a grade final.","DID",1972,"F","I","Ótima","Transportes e viagens Meios de comunicação e difusão Profissões, ofícios"
"SP_DID_031","SP_DID_031_SPEAKER_1_444_2099.883_2108.063.wav","SPEAKER 1",2099.883,2108.063,8.18,"Então esse chefe de trem é o que fica passeando, ci circulando e verificando a ordem, verificando se as pessoas estão dormindo, se alguém precisa de alguma coisa.","DID",1972,"F","I","Ótima","Transportes e viagens Meios de comunicação e difusão Profissões, ofícios"
"SP_DID_031","SP_DID_031_SPEAKER_1_435_2024.253_2030.273.wav","SPEAKER 1",2024.253,2030.273,6.02,"Parece que os vagões que ficam na parte traseira do trem jogam mais com o efeito das curvas do trem.","DID",1972,"F","I","Ótima","Transportes e viagens Meios de comunicação e difusão Profissões, ofícios"
"SP_DID_031","SP_DID_031_SPEAKER_1_375_1743.703_1749.663.wav","SPEAKER 1",1743.703,1749.663,5.96,"Por exemplo, Lisboa, Madri, se você for viajar de trem, você leva vinte horas viajando. Ent>","DID",1972,"F","I","Ótima","Transportes e viagens Meios de comunicação e difusão Profissões, ofícios"
"SP_DID_031","SP_DID_031_SPEAKER_1_299_1382.983_1388.363.wav","SPEAKER 1",1382.983,1388.363,5.38,"Acontece que como não havia espaço para que aquelas poltronas fossem grandes, eles fizeram três poltronas pequenas.","DID",1972,"F","I","Ótima","Transportes e viagens Meios de comunicação e difusão Profissões, ofícios"
"SP_DID_052","SP_DID_052_SPEAKER_1_441_2243.219_2253.699.wav","SPEAKER 1",2243.219,2253.699,10.48,"Então, na época certa que deve coincidir com algum rio que desemboca em algum lugar, que provoca algum degelo, alguma coisa, então aparecem essas águas misteriosas que depois somem outra vez na areia.","DID",1972,"F","I","Ótima","Vestuário Meteorologia Tempo cronológico"
"SP_DID_052","SP_DID_052_SPEAKER_1_464_2349.529_2357.309.wav","SPEAKER 1",2349.529,2357.309,7.78,"E na Europa não. Como tem essa disposição bem nítida de de estação, você tem a impressão que até o seu organismo se beneficia.","DID",1972,"F","I","Ótima","Vestuário Meteorologia Tempo cronológico"
"SP_DID_052","SP_DID_052_SPEAKER_1_370_1910.459_1917.579.wav","SPEAKER 1",1910.459,1917.579,7.12,"<Não me deu essa sensação. A> <Agora, em sensação de tempo, éh eu tive uma experiência muito interessante e f>","DID",1972,"F","I","Ótima","Vestuário Meteorologia Tempo cronológico"
"SP_DID_052","SP_DID_052_SPEAKER_1_567_2751.519_2758.499.wav","SPEAKER 1",2751.519,2758.499,6.98,"<O centro da Espanha é árido. O> <O centro da Espanha é todo cor de terra, entende?","DID",1972,"F","I","Ótima","Vestuário Meteorologia Tempo cronológico"
"SP_DID_052","SP_DID_052_SPEAKER_1_256_1337.179_1342.589.wav","SPEAKER 1",1337.179,1342.589,5.41,"<Então, se põe um cinto diferente ou faz muito contraste ou você não encaixa um tom que combine bem.","DID",1972,"F","I","Ótima","Vestuário Meteorologia Tempo cronológico"
"SP_DID_065","SP_DID_065_SPEAKER_0_595_1976.831_1984.511.wav","SPEAKER 0",1976.831,1984.511,7.68,"E quando funde o motor, nem sempre precisa trocar. Isso é uma coisa que, que assusta fundir o motor, porque trocar o motor todo realmente é caro.","DID",1972,"F","I","Ótima","Transportes e viagens"
"SP_DID_065","SP_DID_065_SPEAKER_0_375_1107.421_1114.231.wav","SPEAKER 0",1107.421,1114.231,6.81,"Então, tinha que trocar por um carburador bom. E não foi trocado porque é muito mais caro, carburador bom.","DID",1972,"F","I","Ótima","Transportes e viagens"
"SP_DID_065","SP_DID_065_SPEAKER_0_382_1133.461_1139.861.wav","SPEAKER 0",1133.461,1139.861,6.4,"Começou outro defeito. Geralmente, quando a gente ia viajar, se a gente ia para Santos, geralmente acontecia esse, esse defeito.","DID",1972,"F","I","Ótima","Transportes e viagens"
"SP_DID_065","SP_DID_065_SPEAKER_0_130_69.759_75.503.wav","SPEAKER 0",69.759,75.503,5.744,"Eu comecei dirigindo, eu não tinha idade para entrar em autoescola, então aprendi com meu pai por conta própria, porque me interessava. Aham","DID",1972,"F","I","Ótima","Transportes e viagens"
"SP_DID_065","SP_DID_065_SPEAKER_0_298_744.522_749.364.wav","SPEAKER 0",744.522,749.364,4.842,"Quiseram telefonar para o meu marido, eu falei, não, deixa eu telefonar, senão ele pensa que eu morri, né?","DID",1972,"F","I","Ótima","Transportes e viagens"
"SP_DID_102","SP_DID_102_SPEAKER_0_74_257.125_267.613.wav","SPEAKER 0",257.125,267.613,10.488,"Como você disse que a torcida do São Paulo é torcida de de último momento, de decisão do campeonato, e se estiver bem favorável para ele, se estiver mais ou menos, a torcida já não tem tanto entusiasmo.","DID",1972,"M","II","Ótima","Vida social, diversões"
"SP_DID_102","SP_DID_102_SPEAKER_0_127_626.263_635.038.wav","SPEAKER 0",626.263,635.038,8.775,"Tanto que, hoje em dia, três a zero é goleada. E há uns tempos atrás, eu acompanho o futebol desde moleque, três a um era o resultado clássico de qualquer joguinho.","DID",1972,"M","II","Ótima","Vida social, diversões"
"SP_DID_102","SP_DID_102_SPEAKER_0_295_1517.579_1525.059.wav","SPEAKER 0",1517.579,1525.059,7.48,"Diz até que com essa prática pode sarar de asma, bronquite e outras coisas que são deficiência da forma da pessoa respirar.","DID",1972,"M","II","Ótima","Vida social, diversões"
"SP_DID_102","SP_DID_102_SPEAKER_0_152_728.051_733.856.wav","SPEAKER 0",728.051,733.856,5.805,"A gente corria com bicicleta emprestada até um certo ponto, e de um ponto para frente teria que ser bicicleta da gente.","DID",1972,"M","II","Ótima","Vida social, diversões"
"SP_DID_102","SP_DID_102_SPEAKER_0_195_985.951_991.494.wav","SPEAKER 0",985.951,991.494,5.543,"Geralmente eles dividem o campo em duas partes, um que defende a frente e outro que defende o fundo.","DID",1972,"M","II","Ótima","Vida social, diversões"
"SP_DID_110","SP_DID_110_SPEAKER_0_115_409.901_417.967.wav","SPEAKER 0",409.901,417.967,8.066,"possibilidade de transporte de maior número de pessoas, que não é o caso, mas sempre em linhas gerais, apresenta essa vantagem.","DID",1972,"M","II","Ótima","Transportes e viagens"
"SP_DID_110","SP_DID_110_SPEAKER_0_286_1679.878_1687.488.wav","SPEAKER 0",1679.878,1687.488,7.61,"Se for alguma vela que esteja suja, então é fácil desemparafusar a vela, limpar e recolocar.","DID",1972,"M","II","Ótima","Transportes e viagens"
"SP_DID_110","SP_DID_110_SPEAKER_0_128_534.867_541.772.wav","SPEAKER 0",534.867,541.772,6.905,"Esse é um diferencial de poucos centímetros. E de um carro grande é de um metro e tanto, dois metros em geral de comprimento.","DID",1972,"M","II","Ótima","Transportes e viagens"
"SP_DID_110","SP_DID_110_SPEAKER_0_360_2198.848_2205.728.wav","SPEAKER 0",2198.848,2205.728,6.88,"aqueles vagões que transportam mercadorias, muitas vezes transportam gado e são totalmente fechados.","DID",1972,"M","II","Ótima","Transportes e viagens"
"SP_DID_110","SP_DID_110_SPEAKER_0_188_986.37_992.116.wav","SPEAKER 0",986.37,992.116,5.746,"E no ônibus tem essa facilidade de poder travar amizade com o vizinho de banco,","DID",1972,"M","II","Ótima","Transportes e viagens"
